id	baseline_metric	challenger_metric	status	hypothesis
1	39.78	41.38	keep	If we recategorize 22 memories from 'general', recall precision should improve
2	41.51	42.6	keep	If we recategorize 15 memories from 'general', recall precision should improve
3	42.64	43.07	keep	If we recategorize 6 memories from 'general', recall precision should improve
4	43.07	43.29	keep	If we recategorize 3 memories from 'general', recall precision should improve
5	43.37	43.37	discard	If we no actionable improvements found — system is clean, recall precision should improve
6	88.11	88.11	discard	If we no actionable improvements found — system is clean, recall precision should improve
7	100.0	100.0	discard	If we no actionable improvements found — system is clean, recall precision should improve
8	85.2	85.2	discard	If we no actionable improvements found — system is clean, recall precision should improve
9	100.0	100.0	discard	If we no actionable improvements found — system is clean, recall precision should improve
10	100.0	100.0	discard	If we no actionable improvements found — system is clean, recall precision should improve
11	100.0	100.0	discard	If we no actionable improvements found — system is clean, recall precision should improve
12	100.0	100.0	discard	If we no actionable improvements found — system is clean, recall precision should improve
13	100.0	100.0	discard	If we no actionable improvements found — system is clean, recall precision should improve
14	99.88	100.0	keep	If we recategorize 2 memories from 'general', recall precision should improve
15	99.83	99.94	keep	If we recategorize 2 memories from 'general', recall precision should improve
16	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
17	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
18	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
19	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
20	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
21	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
22	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
23	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
24	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
25	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
26	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
27	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
28	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
29	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
30	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
31	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
32	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
33	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
34	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
35	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
36	99.9	99.95	keep	If we recategorize 1 memories from 'general', recall precision should improve
37	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
38	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
39	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
40	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
41	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
42	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
43	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
44	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
45	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
46	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
47	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
48	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
49	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
50	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
51	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
52	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
53	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
54	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
55	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
56	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
57	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
58	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
59	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
60	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
61	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
62	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
63	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
64	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
65	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
66	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
67	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
68	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
69	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
70	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
71	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
72	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
73	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
74	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
75	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
76	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
77	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
78	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
79	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
80	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
81	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
82	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
83	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
84	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
85	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
86	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
87	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
88	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
89	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
90	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
91	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
92	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
93	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
94	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
95	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
96	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
97	99.95	99.95	discard	If we no actionable improvements found — system is clean, recall precision should improve
98	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
99	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
100	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
101	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
102	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
103	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
104	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
105	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
106	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
107	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
108	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
109	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
110	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
111	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
112	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
113	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
114	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
115	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
116	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
117	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
118	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
119	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
120	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
121	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
122	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
123	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
124	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
125	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
126	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
127	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
128	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
129	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
130	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
131	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
132	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
133	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
134	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
135	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
136	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
137	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
138	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
139	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
140	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
141	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
142	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
143	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
144	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
145	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
146	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
147	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
148	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
149	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
150	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
151	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
152	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
153	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
154	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
155	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
156	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
157	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
158	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
159	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
160	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
161	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
162	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
163	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
164	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
165	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
166	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
167	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
168	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
169	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
170	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
171	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
172	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
173	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
174	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
175	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
176	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
177	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
178	99.91	99.91	discard	If we no actionable improvements found — system is clean, recall precision should improve
